method,class_index,species,family,genus,test_images,correct,accuracy,most_common_wrong_class,most_common_wrong_species,most_common_wrong_count
Validation-selected ResNet50/ConvNeXt ensemble,234,Caiman crocodilus (Common Caiman),Alligatoridae,Caiman,10,6,0.6,235,Crocodylus moreletii (Belize Crocodile),3
Validation-selected ResNet50/ConvNeXt ensemble,414,Salvia columbariae (chia),Lamiaceae,Salvia,10,6,0.6,343,Jasione montana (Sheep's-bit),3
Validation-selected ResNet50/ConvNeXt ensemble,117,Enallagma cyathigerum (Common Blue Damselfly),Coenagrionidae,Enallagma,10,6,0.6,118,Enallagma geminatum (Skimming Bluet),2
Validation-selected ResNet50/ConvNeXt ensemble,161,Chroicocephalus ridibundus (Black-headed Gull),Laridae,Chroicocephalus,10,6,0.6,163,Larus glaucescens (Glaucous-winged Gull),2
Validation-selected ResNet50/ConvNeXt ensemble,163,Larus glaucescens (Glaucous-winged Gull),Laridae,Larus,10,6,0.6,160,Chroicocephalus hartlaubii (Hartlaub's Gull),2
Validation-selected ResNet50/ConvNeXt ensemble,204,Contopus sordidulus (Western Wood-Pewee),Tyrannidae,Contopus,10,6,0.6,203,Contopus cooperi (Olive-sided Flycatcher),2
Validation-selected ResNet50/ConvNeXt ensemble,208,Zosterops japonicus (Warbling White-eye),Zosteropidae,Zosterops,10,6,0.6,209,Zosterops palpebrosus (Indian White-eye),2
Validation-selected ResNet50/ConvNeXt ensemble,225,Lynx canadensis (Canada Lynx),Felidae,Lynx,10,6,0.6,223,Canis lupus (Gray Wolf),2
Validation-selected ResNet50/ConvNeXt ensemble,492,Pinus ponderosa (ponderosa pine),Pinaceae,Pinus,10,6,0.6,491,Pinus contorta (lodgepole pine),2
Validation-selected ResNet50/ConvNeXt ensemble,91,Nymphalis antiopa (Mourning Cloak),Nymphalidae,Nymphalis,10,6,0.6,430,Duranta erecta (golden dewdrop),1
Validation-selected ResNet50/ConvNeXt ensemble,173,Psilorhinus morio (Brown Jay),Corvidae,Psilorhinus,10,6,0.6,195,Pipilo erythrophthalmus (Eastern Towhee),1
Validation-selected ResNet50/ConvNeXt ensemble,177,Hirundo rustica (Barn Swallow),Hirundinidae,Hirundo,10,6,0.6,202,Thraupis episcopus (Blue-gray Tanager),1
Validation-selected ResNet50/ConvNeXt ensemble,186,Poecile hudsonicus (Boreal Chickadee),Paridae,Poecile,10,6,0.6,199,Sitta pusilla (Brown-headed Nuthatch),1
Validation-selected ResNet50/ConvNeXt ensemble,191,Setophaga ruticilla (American Redstart),Parulidae,Setophaga,10,6,0.6,198,Regulus ignicapilla (Common Firecrest),1
Validation-selected ResNet50/ConvNeXt ensemble,215,Megascops asio (Eastern Screech-Owl),Strigidae,Megascops,10,6,0.6,85,Peridea angulosa (Angulose Prominent Moth),1
Validation-selected ResNet50/ConvNeXt ensemble,222,Odocoileus virginianus (White-tailed Deer),Cervidae,Odocoileus,10,6,0.6,143,Rana aurora (Northern Red-legged Frog),1
Validation-selected ResNet50/ConvNeXt ensemble,223,Canis lupus (Gray Wolf),Canidae,Canis,10,6,0.6,219,Ginglymostoma cirratum (Nurse Shark),1
Validation-selected ResNet50/ConvNeXt ensemble,292,Goodyera tesselata (checkered rattlesnake plantain),Orchidaceae,Goodyera,10,6,0.6,296,Spiranthes lacera (Slender Ladies' Tresses),1
Validation-selected ResNet50/ConvNeXt ensemble,314,Fatsia japonica (Japanese aralia),Araliaceae,Fatsia,10,6,0.6,324,Erigeron sumatrensis (tropical horseweed),1
Validation-selected ResNet50/ConvNeXt ensemble,323,Crepis tectorum (narrow-leaved hawksbeard),Asteraceae,Crepis,10,6,0.6,457,Pulsatilla patens (eastern pasqueflower),1
Validation-selected ResNet50/ConvNeXt ensemble,324,Erigeron sumatrensis (tropical horseweed),Asteraceae,Erigeron,10,6,0.6,68,Lon melane (Umber Skipper),1
Validation-selected ResNet50/ConvNeXt ensemble,348,Cardamine hirsuta (hairy bittercress),Brassicaceae,Cardamine,10,6,0.6,307,Poa annua (Annual Meadow-grass),1
Validation-selected ResNet50/ConvNeXt ensemble,351,Pseudowintera colorata (Mountain Horopito),Winteraceae,Pseudowintera,10,6,0.6,385,Gaultheria antipoda,1
Validation-selected ResNet50/ConvNeXt ensemble,368,Polygonum aviculare (prostrate knotweed),Polygonaceae,Polygonum,10,6,0.6,369,Polygonum paronychia (beach knotweed),1
Validation-selected ResNet50/ConvNeXt ensemble,383,Dracophyllum longifolium (Inaka),Ericaceae,Dracophyllum,10,6,0.6,449,Leucadendron laureolum (Golden Sunshinebush),1
Validation-selected ResNet50/ConvNeXt ensemble,393,Acacia confusa (Taiwan Acacia),Fabaceae,Acacia,10,6,0.6,394,Acacia longifolia (longleaf wattle),1
Validation-selected ResNet50/ConvNeXt ensemble,417,Vitex agnus-castus (Lilac chaste tree),Lamiaceae,Vitex,10,6,0.6,437,Manihot esculenta (Cassava),1
Validation-selected ResNet50/ConvNeXt ensemble,424,Phryma leptostachya (American lopseed),Phrymaceae,Phryma,10,6,0.6,290,Cephalanthera rubra (Red Helleborine),1
Validation-selected ResNet50/ConvNeXt ensemble,427,Buddleja davidii (Butterfly bush),Scrophulariaceae,Buddleja,10,6,0.6,431,Glandularia bipinnatifida (Dakota mock vervain),1
Validation-selected ResNet50/ConvNeXt ensemble,432,Asimina triloba (common pawpaw),Annonaceae,Asimina,10,6,0.6,437,Manihot esculenta (Cassava),1
Validation-selected ResNet50/ConvNeXt ensemble,449,Leucadendron laureolum (Golden Sunshinebush),Proteaceae,Leucadendron,10,6,0.6,261,Peltigera praetextata (scaly pelt lichen),1
Validation-selected ResNet50/ConvNeXt ensemble,451,Actaea racemosa (black cohosh),Ranunculaceae,Actaea,10,6,0.6,460,Crataegus marshallii (parsley hawthorn),1
Validation-selected ResNet50/ConvNeXt ensemble,461,Eriobotrya japonica (Loquat),Rosaceae,Eriobotrya,10,6,0.6,439,Salix bebbiana (bebb's willow),1
Validation-selected ResNet50/ConvNeXt ensemble,467,Rubus schmidelioides,Rosaceae,Rubus,10,6,0.6,435,Croton glandulosus (Tropic Croton),1
Validation-selected ResNet50/ConvNeXt ensemble,468,Ulmus americana (American elm),Ulmaceae,Ulmus,10,6,0.6,319,Ambrosia salsola (common burrobrush),1
Validation-selected ResNet50/ConvNeXt ensemble,491,Pinus contorta (lodgepole pine),Pinaceae,Pinus,10,6,0.6,492,Pinus ponderosa (ponderosa pine),1
Validation-selected ResNet50/ConvNeXt ensemble,199,Sitta pusilla (Brown-headed Nuthatch),Sittidae,Sitta,10,7,0.7,186,Poecile hudsonicus (Boreal Chickadee),3
Validation-selected ResNet50/ConvNeXt ensemble,217,Phalacrocorax penicillatus (Brandt's Cormorant),Phalacrocoracidae,Phalacrocorax,10,7,0.7,216,Phalacrocorax pelagicus (Pelagic Cormorant),3
Validation-selected ResNet50/ConvNeXt ensemble,241,Zamenis longissimus (Aesculapian Snake),Colubridae,Zamenis,10,7,0.7,236,Anguis veronensis (Italian Slow Worm),3
Validation-selected ResNet50/ConvNeXt ensemble,245,Pseudaspis cana (Mole Snake),Lamprophiidae,Pseudaspis,10,7,0.7,241,Zamenis longissimus (Aesculapian Snake),3
Validation-selected ResNet50/ConvNeXt ensemble,345,Myosotis latifolia (broadleaf forget-me-not),Boraginaceae,Myosotis,10,7,0.7,346,Myosotis scorpioides (water forget-me-not),3
Validation-selected ResNet50/ConvNeXt ensemble,380,Arctostaphylos glauca (Big Berry Manzanita),Ericaceae,Arctostaphylos,10,7,0.7,474,Bursera microphylla (elephant tree),3
Validation-selected ResNet50/ConvNeXt ensemble,5,Hemiscolopendra marginata (Eastern Bark Centipede),Scolopendridae,Hemiscolopendra,10,7,0.7,6,Scolopendra heros (Giant Desert Centipede),2
Validation-selected ResNet50/ConvNeXt ensemble,146,Aquila heliaca (Imperial Eagle),Accipitridae,Aquila,10,7,0.7,147,Pernis apivorus (European Honey-buzzard),2
Validation-selected ResNet50/ConvNeXt ensemble,162,Larus cachinnans (Caspian Gull),Laridae,Larus,10,7,0.7,163,Larus glaucescens (Glaucous-winged Gull),2
Validation-selected ResNet50/ConvNeXt ensemble,182,Quiscalus quiscula (Common Grackle),Icteridae,Quiscalus,10,7,0.7,181,Agelaius tricolor (Tricolored Blackbird),2
Validation-selected ResNet50/ConvNeXt ensemble,263,Umbilicaria mammulata (Smooth Rock Tripe),Umbilicariaceae,Umbilicaria,10,7,0.7,261,Peltigera praetextata (scaly pelt lichen),2
Validation-selected ResNet50/ConvNeXt ensemble,288,Phormium cookianum (Mountain flax),Asphodelaceae,Phormium,10,7,0.7,383,Dracophyllum longifolium (Inaka),2
Validation-selected ResNet50/ConvNeXt ensemble,346,Myosotis scorpioides (water forget-me-not),Boraginaceae,Myosotis,10,7,0.7,345,Myosotis latifolia (broadleaf forget-me-not),2
Validation-selected ResNet50/ConvNeXt ensemble,486,Krameria erecta (Pima Rhatany),Krameriaceae,Krameria,10,7,0.7,463,Prunus fasciculata (desert almond),2
Validation-selected ResNet50/ConvNeXt ensemble,488,Taxodium distichum (baldcypress),Cupressaceae,Taxodium,10,7,0.7,489,Taxodium mucronatum (Montezuma cypress),2
Validation-selected ResNet50/ConvNeXt ensemble,15,Oedemera femorata,Oedemeridae,Oedemera,10,7,0.7,297,Erythronium oregonum (giant white fawn lily),1
Validation-selected ResNet50/ConvNeXt ensemble,44,Agriphila straminella (Pearl Veneer),Crambidae,Agriphila,10,7,0.7,24,Adelges tsugae (Hemlock Woolly Adelgid),1
Validation-selected ResNet50/ConvNeXt ensemble,67,Lerodea eufala (Eufala Skipper),Hesperiidae,Lerodea,10,7,0.7,43,Achyra rantalis (Garden Webworm Moth),1
Validation-selected ResNet50/ConvNeXt ensemble,70,Thymelicus lineola (European Skipper),Hesperiidae,Thymelicus,10,7,0.7,63,Ancyloxypha numitor (Least Skipper),1
Validation-selected ResNet50/ConvNeXt ensemble,71,Urbanus dorantes (Dorantes Longtail),Hesperiidae,Urbanus,10,7,0.7,172,Corvus ossifragus (Fish Crow),1
Validation-selected ResNet50/ConvNeXt ensemble,79,Satyrium titus (Coral Hairstreak),Lycaenidae,Satyrium,10,7,0.7,74,Catochrysops strabo (Forget-me-not),1
Validation-selected ResNet50/ConvNeXt ensemble,93,Papilio anactus (Dainty Swallowtail),Papilionidae,Papilio,10,7,0.7,89,Euphydryas phaeton (Baltimore Checkerspot),1
Validation-selected ResNet50/ConvNeXt ensemble,135,Perca flavescens (Yellow Perch),Percidae,Perca,10,7,0.7,128,Pimephales notatus (Bluntnose Minnow),1
Validation-selected ResNet50/ConvNeXt ensemble,145,Triturus carnifex (Italian Crested Newt),Salamandridae,Triturus,10,7,0.7,123,Pseudochorthippus curtipennis (Marsh meadow grasshopper),1
Validation-selected ResNet50/ConvNeXt ensemble,155,Charadrius obscurus (Red-breasted Dotterel),Charadriidae,Charadrius,10,7,0.7,156,Charadrius wilsonia (Wilson's Plover),1
Validation-selected ResNet50/ConvNeXt ensemble,170,Pheucticus chrysopeplus (Yellow Grosbeak),Cardinalidae,Pheucticus,10,7,0.7,183,Ptilotula penicillata (White-plumed Honeyeater),1
Validation-selected ResNet50/ConvNeXt ensemble,171,Certhia americana (Brown Creeper),Certhiidae,Certhia,10,7,0.7,214,Dryobates pubescens (Downy Woodpecker),1
Validation-selected ResNet50/ConvNeXt ensemble,176,Loxia curvirostra (Red Crossbill),Fringillidae,Loxia,10,7,0.7,153,Archilochus alexandri (Black-chinned Hummingbird),1
Validation-selected ResNet50/ConvNeXt ensemble,178,Riparia riparia (Bank Swallow),Hirundinidae,Riparia,10,7,0.7,146,Aquila heliaca (Imperial Eagle),1
Validation-selected ResNet50/ConvNeXt ensemble,190,Setophaga dominica (Yellow-throated Warbler),Parulidae,Setophaga,10,7,0.7,214,Dryobates pubescens (Downy Woodpecker),1
Validation-selected ResNet50/ConvNeXt ensemble,193,Calamospiza melanocorys (Lark Bunting),Passerellidae,Calamospiza,10,7,0.7,203,Contopus cooperi (Olive-sided Flycatcher),1
Validation-selected ResNet50/ConvNeXt ensemble,202,Thraupis episcopus (Blue-gray Tanager),Thraupidae,Thraupis,10,7,0.7,201,Saltator coerulescens (Grayish Saltator),1
Validation-selected ResNet50/ConvNeXt ensemble,203,Contopus cooperi (Olive-sided Flycatcher),Tyrannidae,Contopus,10,7,0.7,172,Corvus ossifragus (Fish Crow),1
Validation-selected ResNet50/ConvNeXt ensemble,207,Myiarchus cinerascens (Ash-throated Flycatcher),Tyrannidae,Myiarchus,10,7,0.7,153,Archilochus alexandri (Black-chinned Hummingbird),1
Validation-selected ResNet50/ConvNeXt ensemble,214,Dryobates pubescens (Downy Woodpecker),Picidae,Dryobates,10,7,0.7,403,Quercus phellos (willow oak),1
Validation-selected ResNet50/ConvNeXt ensemble,230,Castor canadensis (American Beaver),Castoridae,Castor,10,7,0.7,232,Marmota monax (Woodchuck),1
Validation-selected ResNet50/ConvNeXt ensemble,235,Crocodylus moreletii (Belize Crocodile),Crocodylidae,Crocodylus,10,7,0.7,145,Triturus carnifex (Italian Crested Newt),1
Validation-selected ResNet50/ConvNeXt ensemble,236,Anguis veronensis (Italian Slow Worm),Anguidae,Anguis,10,7,0.7,240,Tantilla gracilis (Flat-headed Snake),1
Validation-selected ResNet50/ConvNeXt ensemble,237,Gerrhonotus infernalis (Texas Alligator Lizard),Anguidae,Gerrhonotus,10,7,0.7,7,Agrilus planipennis (Emerald Ash Borer),1
Validation-selected ResNet50/ConvNeXt ensemble,248,Sistrurus catenatus (Massasauga),Viperidae,Sistrurus,10,7,0.7,247,Crotalus oreganus (Western Rattlesnake),1
Validation-selected ResNet50/ConvNeXt ensemble,284,Asparagus officinalis (asparagus),Asparagaceae,Asparagus,10,7,0.7,451,Actaea racemosa (black cohosh),1
Validation-selected ResNet50/ConvNeXt ensemble,290,Cephalanthera rubra (Red Helleborine),Orchidaceae,Cephalanthera,10,7,0.7,446,Oenothera rosea (rose evening primrose),1
Validation-selected ResNet50/ConvNeXt ensemble,303,Smilax glauca (sawbrier),Smilacaceae,Smilax,10,7,0.7,37,Camponotus floridanus (Florida Carpenter Ant),1
Validation-selected ResNet50/ConvNeXt ensemble,309,Stenotaphrum secundatum (Saint Augustine grass),Poaceae,Stenotaphrum,10,7,0.7,383,Dracophyllum longifolium (Inaka),1
Validation-selected ResNet50/ConvNeXt ensemble,313,Torilis japonica (upright hedge-parsley),Apiaceae,Torilis,10,7,0.7,460,Crataegus marshallii (parsley hawthorn),1
Validation-selected ResNet50/ConvNeXt ensemble,325,Eupatorium altissimum (tall boneset),Asteraceae,Eupatorium,10,7,0.7,435,Croton glandulosus (Tropic Croton),1
Validation-selected ResNet50/ConvNeXt ensemble,333,Ozothamnus leptophyllus (Tauhinu),Asteraceae,Ozothamnus,10,7,0.7,319,Ambrosia salsola (common burrobrush),1
Validation-selected ResNet50/ConvNeXt ensemble,340,Taraxacum officinale (common dandelion),Asteraceae,Taraxacum,10,7,0.7,401,Polygala rugelii (Yellow milkwort),1
Validation-selected ResNet50/ConvNeXt ensemble,365,Eriogonum deflexum (skeleton weed),Polygonaceae,Eriogonum,10,7,0.7,175,Taeniopygia bichenovii (Double-barred Finch),1
Validation-selected ResNet50/ConvNeXt ensemble,375,Coriaria arborea (Tree Tutu),Coriariaceae,Coriaria,10,7,0.7,293,Neottia nidus-avis (bird's-nest orchid),1
Validation-selected ResNet50/ConvNeXt ensemble,378,Viburnum acerifolium (mapleleaf viburnum),Viburnaceae,Viburnum,10,7,0.7,470,Laportea canadensis (Canadian wood nettle),1
Validation-selected ResNet50/ConvNeXt ensemble,392,Androsace septentrionalis (pygmy-flower rock-jasmine),Primulaceae,Androsace,10,7,0.7,362,Montia parvifolia (Small-leaved Blinks),1
Validation-selected ResNet50/ConvNeXt ensemble,394,Acacia longifolia (longleaf wattle),Fabaceae,Acacia,10,7,0.7,383,Dracophyllum longifolium (Inaka),1
Validation-selected ResNet50/ConvNeXt ensemble,403,Quercus phellos (willow oak),Fagaceae,Quercus,10,7,0.7,420,Epifagus virginiana (Beechdrops),1
Validation-selected ResNet50/ConvNeXt ensemble,405,Garrya elliptica (Coast silk tassel),Garryaceae,Garrya,10,7,0.7,404,Morella californica (California Wax Myrtle),1
Validation-selected ResNet50/ConvNeXt ensemble,426,Veronica filiformis (Slender speedwell),Plantaginaceae,Veronica,10,7,0.7,330,Leucanthemum vulgare (oxeye daisy),1
Validation-selected ResNet50/ConvNeXt ensemble,436,Euphorbia ophthalmica (Florida Hammock Sandmat),Euphorbiaceae,Euphorbia,10,7,0.7,369,Polygonum paronychia (beach knotweed),1
Validation-selected ResNet50/ConvNeXt ensemble,438,Hypericum perforatum (Klamath weed),Hypericaceae,Hypericum,10,7,0.7,324,Erigeron sumatrensis (tropical horseweed),1
Validation-selected ResNet50/ConvNeXt ensemble,439,Salix bebbiana (bebb's willow),Salicaceae,Salix,10,7,0.7,398,Robinia pseudoacacia (black locust),1
Validation-selected ResNet50/ConvNeXt ensemble,446,Oenothera rosea (rose evening primrose),Onagraceae,Oenothera,10,7,0.7,435,Croton glandulosus (Tropic Croton),1
Validation-selected ResNet50/ConvNeXt ensemble,448,Banksia integrifolia (Coastal Banksia),Proteaceae,Banksia,10,7,0.7,404,Morella californica (California Wax Myrtle),1
Validation-selected ResNet50/ConvNeXt ensemble,454,Aquilegia vulgaris (common columbine),Ranunculaceae,Aquilegia,10,7,0.7,378,Viburnum acerifolium (mapleleaf viburnum),1
Validation-selected ResNet50/ConvNeXt ensemble,456,Clematis virginiana (Virginia virgin's-bower),Ranunculaceae,Clematis,10,7,0.7,367,Persicaria maculosa (redshank),1
Validation-selected ResNet50/ConvNeXt ensemble,458,Ranunculus acris (meadow buttercup),Ranunculaceae,Ranunculus,10,7,0.7,452,Adonis vernalis (Spring Adonis),1
Validation-selected ResNet50/ConvNeXt ensemble,477,Crassula ovata (jade plant),Crassulaceae,Crassula,10,7,0.7,333,Ozothamnus leptophyllus (Tauhinu),1
Validation-selected ResNet50/ConvNeXt ensemble,498,Pteris vittata (ladder fern),Pteridaceae,Pteris,10,7,0.7,354,Echinocereus enneacanthus (Strawberry Cactus),1
Validation-selected ResNet50/ConvNeXt ensemble,40,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),Halictidae,Augochloropsis,10,8,0.8,39,Augochlora pura (Pure Green Sweat Bee),2
Validation-selected ResNet50/ConvNeXt ensemble,139,Plotosus lineatus (Striped Eel Catfish),Plotosidae,Plotosus,10,8,0.8,138,Paralabrax clathratus (Kelp Bass),2
Validation-selected ResNet50/ConvNeXt ensemble,216,Phalacrocorax pelagicus (Pelagic Cormorant),Phalacrocoracidae,Phalacrocorax,10,8,0.8,217,Phalacrocorax penicillatus (Brandt's Cormorant),2
Validation-selected ResNet50/ConvNeXt ensemble,221,Tragelaphus oryx (Eland),Bovidae,Tragelaphus,10,8,0.8,222,Odocoileus virginianus (White-tailed Deer),2
Validation-selected ResNet50/ConvNeXt ensemble,387,Leptecophylla juniperina (Prickly mingimingi),Ericaceae,Leptecophylla,10,8,0.8,460,Crataegus marshallii (parsley hawthorn),2
Validation-selected ResNet50/ConvNeXt ensemble,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),Cantharidae,Chauliognathus,10,8,0.8,9,Rutpela maculata (Spotted Longhorn),1
Validation-selected ResNet50/ConvNeXt ensemble,11,Leptinotarsa juncta (False Potato Beetle),Chrysomelidae,Leptinotarsa,10,8,0.8,12,Henosepilachna vigintioctopunctata (Hadda Beetle),1
Validation-selected ResNet50/ConvNeXt ensemble,17,Exomala orientalis (Oriental Beetle),Scarabaeidae,Exomala,10,8,0.8,19,Exaireta spinigera (Garden soldier fly),1
Validation-selected ResNet50/ConvNeXt ensemble,30,Halyomorpha halys (Brown Marmorated Stink Bug),Pentatomidae,Halyomorpha,10,8,0.8,25,Acanthocephala femorata (Florida Leaf-footed Bug),1
Validation-selected ResNet50/ConvNeXt ensemble,32,Phymata americana (Jagged Ambush Bug),Reduviidae,Phymata,10,8,0.8,436,Euphorbia ophthalmica (Florida Hammock Sandmat),1
Validation-selected ResNet50/ConvNeXt ensemble,35,Cimbex americanus (Elm Sawfly),Cimbicidae,Cimbex,10,8,0.8,20,Copestylum mexicanum (Mexican Cactus Fly),1
Validation-selected ResNet50/ConvNeXt ensemble,39,Augochlora pura (Pure Green Sweat Bee),Halictidae,Augochlora,10,8,0.8,40,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),1
Validation-selected ResNet50/ConvNeXt ensemble,65,Erynnis juvenalis (Juvenal's Duskywing),Hesperiidae,Erynnis,10,8,0.8,243,Micrurus tener (Texas Coralsnake),1
Validation-selected ResNet50/ConvNeXt ensemble,75,Celastrina ladon (Spring Azure),Lycaenidae,Celastrina,10,8,0.8,76,Cyaniris semiargus (Mazarine Blue),1
Validation-selected ResNet50/ConvNeXt ensemble,82,Maliattha synochitis (Black-dotted Maliattha),Noctuidae,Maliattha,10,8,0.8,53,Melipotis acontioides (Royal Poinciana Moth),1
Validation-selected ResNet50/ConvNeXt ensemble,89,Euphydryas phaeton (Baltimore Checkerspot),Nymphalidae,Euphydryas,10,8,0.8,91,Nymphalis antiopa (Mourning Cloak),1
Validation-selected ResNet50/ConvNeXt ensemble,106,Hippotion scrofa,Sphingidae,Hippotion,10,8,0.8,54,Pantydia sparsa,1
Validation-selected ResNet50/ConvNeXt ensemble,133,Eupetrichthys angustipes (Snakeskin Wrasse),Labridae,Eupetrichthys,10,8,0.8,132,Chaetodon capistratus (Four-eyed Butterflyfish),1
Validation-selected ResNet50/ConvNeXt ensemble,137,Aplodinotus grunniens (Freshwater Drum),Sciaenidae,Aplodinotus,10,8,0.8,219,Ginglymostoma cirratum (Nurse Shark),1
Validation-selected ResNet50/ConvNeXt ensemble,143,Rana aurora (Northern Red-legged Frog),Ranidae,Rana,10,8,0.8,220,Oreotragus oreotragus (Klipspringer),1
Validation-selected ResNet50/ConvNeXt ensemble,147,Pernis apivorus (European Honey-buzzard),Accipitridae,Pernis,10,8,0.8,146,Aquila heliaca (Imperial Eagle),1
Validation-selected ResNet50/ConvNeXt ensemble,149,Cygnus olor (Mute Swan),Anatidae,Cygnus,10,8,0.8,212,Pelecanus crispus (Dalmatian Pelican),1
Validation-selected ResNet50/ConvNeXt ensemble,150,Melanitta perspicillata (Surf Scoter),Anatidae,Melanitta,10,8,0.8,151,Mergellus albellus (Smew),1
Validation-selected ResNet50/ConvNeXt ensemble,158,Vanellus coronatus (Crowned Lapwing),Charadriidae,Vanellus,10,8,0.8,160,Chroicocephalus hartlaubii (Hartlaub's Gull),1
Validation-selected ResNet50/ConvNeXt ensemble,166,Patagioenas flavirostris (Red-billed Pigeon),Columbidae,Patagioenas,10,8,0.8,176,Loxia curvirostra (Red Crossbill),1
