class_index,category_id,name,common_name,kingdom,phylum,taxon_class,order,family,genus,specific_epithet,image_dir_name
11,290,Leptinotarsa juncta,False Potato Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Leptinotarsa,juncta,00290_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Leptinotarsa_juncta
12,326,Henosepilachna vigintioctopunctata,Hadda Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,vigintioctopunctata,00326_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Henosepilachna_vigintioctopunctata
13,332,Psyllobora vigintiduopunctata,22-spot Ladybird Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Psyllobora,vigintiduopunctata,00332_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Psyllobora_vigintiduopunctata
14,351,Anoplotrupes stercorosus,Woodland Dor Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Geotrupidae,Anoplotrupes,stercorosus,00351_Animalia_Arthropoda_Insecta_Coleoptera_Geotrupidae_Anoplotrupes_stercorosus
15,370,Oedemera femorata,Oedemera femorata,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemera,femorata,00370_Animalia_Arthropoda_Insecta_Coleoptera_Oedemeridae_Oedemera_femorata
16,384,Euphoria kernii,Kern's Flower Scarab,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euphoria,kernii,00384_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Euphoria_kernii
17,386,Exomala orientalis,Oriental Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Exomala,orientalis,00386_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Exomala_orientalis
18,435,Calliphora vicina,Blue Blowfly,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Calliphora,vicina,00435_Animalia_Arthropoda_Insecta_Diptera_Calliphoridae_Calliphora_vicina
19,457,Exaireta spinigera,Garden soldier fly,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Exaireta,spinigera,00457_Animalia_Arthropoda_Insecta_Diptera_Stratiomyidae_Exaireta_spinigera
20,461,Copestylum mexicanum,Mexican Cactus Fly,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Copestylum,mexicanum,00461_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Copestylum_mexicanum
21,470,Eristalis stipator,Yellow-shouldered Drone Fly,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,stipator,00470_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_stipator
22,472,Eristalis transversa,Transverse-banded Flower Fly,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,transversa,00472_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_transversa
23,493,Toxomerus politus,Maize Calligrapher Fly,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,politus,00493_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Toxomerus_politus
24,513,Adelges tsugae,Hemlock Woolly Adelgid,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,tsugae,00513_Animalia_Arthropoda_Insecta_Hemiptera_Adelgidae_Adelges_tsugae
25,558,Acanthocephala femorata,Florida Leaf-footed Bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala,femorata,00558_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Acanthocephala_femorata
26,567,Leptoglossus clypealis,Western Leaf-footed Bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,clypealis,00567_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_clypealis
27,568,Leptoglossus occidentalis,Western Conifer Seed Bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,occidentalis,00568_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_occidentalis
28,597,Adelphocoris lineolatus,Alfalfa Plant Bug,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Adelphocoris,lineolatus,00597_Animalia_Arthropoda_Insecta_Hemiptera_Miridae_Adelphocoris_lineolatus
29,624,Graphosoma italicum,European Striped Shield Bug,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosoma,italicum,00624_Animalia_Arthropoda_Insecta_Hemiptera_Pentatomidae_Graphosoma_italicum
30,626,Halyomorpha halys,Brown Marmorated Stink Bug,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Halyomorpha,halys,00626_Animalia_Arthropoda_Insecta_Hemiptera_Pentatomidae_Halyomorpha_halys
31,630,Nezara viridula,Southern Green Stink Bug,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Nezara,viridula,00630_Animalia_Arthropoda_Insecta_Hemiptera_Pentatomidae_Nezara_viridula
32,651,Phymata americana,Jagged Ambush Bug,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Phymata,americana,00651_Animalia_Arthropoda_Insecta_Hemiptera_Reduviidae_Phymata_americana
33,671,Andrena cineraria,Ashy Mining Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,cineraria,00671_Animalia_Arthropoda_Insecta_Hymenoptera_Andrenidae_Andrena_cineraria
34,711,Xylocopa micans,Southern Carpenter Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,micans,00711_Animalia_Arthropoda_Insecta_Hymenoptera_Apidae_Xylocopa_micans
35,718,Cimbex americanus,Elm Sawfly,Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Cimbex,americanus,00718_Animalia_Arthropoda_Insecta_Hymenoptera_Cimbicidae_Cimbex_americanus
36,727,Amphibolips confluenta,Spongy Oak Apple Gall Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Amphibolips,confluenta,00727_Animalia_Arthropoda_Insecta_Hymenoptera_Cynipidae_Amphibolips_confluenta
37,743,Camponotus floridanus,Florida Carpenter Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,floridanus,00743_Animalia_Arthropoda_Insecta_Hymenoptera_Formicidae_Camponotus_floridanus
38,747,Camponotus novaeboracensis,New York Carpenter Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,novaeboracensis,00747_Animalia_Arthropoda_Insecta_Hymenoptera_Formicidae_Camponotus_novaeboracensis
39,774,Augochlora pura,Pure Green Sweat Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Augochlora,pura,00774_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochlora_pura
40,775,Augochloropsis metallica,Metallic Epauletted-Sweat Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Augochloropsis,metallica,00775_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochloropsis_metallica
41,799,Ammophila procera,Common Thread-waisted Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Ammophila,procera,00799_Animalia_Arthropoda_Insecta_Hymenoptera_Sphecidae_Ammophila_procera
42,819,Mischocyttarus flavitarsis,Western Paper Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Mischocyttarus,flavitarsis,00819_Animalia_Arthropoda_Insecta_Hymenoptera_Vespidae_Mischocyttarus_flavitarsis
43,858,Achyra rantalis,Garden Webworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Achyra,rantalis,00858_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Achyra_rantalis
44,859,Agriphila straminella,Pearl Veneer,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,straminella,00859_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Agriphila_straminella
45,921,Parapoynx diminutalis,Hydrilla Leafcutter Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Parapoynx,diminutalis,00921_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Parapoynx_diminutalis
46,924,Perispasta caeculalis,Titian Peale's Crambid,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Perispasta,caeculalis,00924_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Perispasta_caeculalis
47,937,Pyrausta volupialis,Volupial Pyrausta Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta,volupialis,00937_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Pyrausta_volupialis
48,949,Urola nivalis,Snowy Urola Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Urola,nivalis,00949_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Urola_nivalis
49,987,Bulia deducta,Deduced Graphic,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Bulia,deducta,00987_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Bulia_deducta
50,997,Catocala grynea,Woody Underwing,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,grynea,00997_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Catocala_grynea
51,998,Catocala ilia,Ilia Underwing,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,ilia,00998_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Catocala_ilia
52,1047,Hypena bijugalis,Dimorphic Bomolocha Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,bijugalis,01047_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Hypena_bijugalis
53,1076,Melipotis acontioides,Royal Poinciana Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,acontioides,01076_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_acontioides
54,1103,Pantydia sparsa,Pantydia sparsa,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Pantydia,sparsa,01103_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Pantydia_sparsa
55,1164,Chiasmia clathrata,Latticed Heath,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,clathrata,01164_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Chiasmia_clathrata
56,1167,Chlorochlamys chloroleucaria,Blackberry Looper,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chlorochlamys,chloroleucaria,01167_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Chlorochlamys_chloroleucaria
57,1176,Colotois pennaria,Feathered Thorn,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Colotois,pennaria,01176_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Colotois_pennaria
58,1233,Idaea aversata,Riband Wave,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,aversata,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata
59,1242,Ilexia intractata,Black-dotted Ruddy Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ilexia,intractata,01242_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ilexia_intractata
60,1297,Probole amicaria,Alien Probole Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Probole,amicaria,01297_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Probole_amicaria
61,1314,Tetracis cachexiata,White Slant-line,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Tetracis,cachexiata,01314_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Tetracis_cachexiata
62,1315,Tetracis crocallata,Yellow Slant-line,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Tetracis,crocallata,01315_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Tetracis_crocallata
63,1335,Ancyloxypha numitor,Least Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ancyloxypha,numitor,01335_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Ancyloxypha_numitor
64,1346,Burnsius philetas,Desert Checkered-Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Burnsius,philetas,01346_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Burnsius_philetas
65,1362,Erynnis juvenalis,Juvenal's Duskywing,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,juvenalis,01362_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Erynnis_juvenalis
66,1374,Iambrix salsala,Chestnut Bob,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Iambrix,salsala,01374_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Iambrix_salsala
67,1376,Lerodea eufala,Eufala Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lerodea,eufala,01376_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Lerodea_eufala
68,1378,Lon melane,Umber Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,melane,01378_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Lon_melane
69,1393,Polites mystic,Long Dash Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Polites,mystic,01393_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_mystic
70,1405,Thymelicus lineola,European Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicus,lineola,01405_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Thymelicus_lineola
71,1408,Urbanus dorantes,Dorantes Longtail,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Urbanus,dorantes,01408_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Urbanus_dorantes
72,1430,Euclea incisa,Green Oak-Slug Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Euclea,incisa,01430_Animalia_Arthropoda_Insecta_Lepidoptera_Limacodidae_Euclea_incisa
73,1439,Anthene emolus,Common Ciliate Blue,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Anthene,emolus,01439_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Anthene_emolus
74,1455,Catochrysops strabo,Forget-me-not,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Catochrysops,strabo,01455_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Catochrysops_strabo
75,1458,Celastrina ladon,Spring Azure,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,ladon,01458_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Celastrina_ladon
76,1469,Cyaniris semiargus,Mazarine Blue,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris,semiargus,01469_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Cyaniris_semiargus
77,1485,Icaricia icarioides,Boisduval's Blue,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Icaricia,icarioides,01485_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Icaricia_icarioides
78,1493,Leptotes marina,Marine Blue,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Leptotes,marina,01493_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Leptotes_marina
79,1534,Satyrium titus,Coral Hairstreak,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,titus,01534_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Satyrium_titus
80,1583,Autographa californica,Alfalfa Looper,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,californica,01583_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Autographa_californica
81,1649,Lithacodia musta,Small Mossy Lithacodia,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithacodia,musta,01649_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Lithacodia_musta
82,1653,Maliattha synochitis,Black-dotted Maliattha,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Maliattha,synochitis,01653_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Maliattha_synochitis
83,1691,Ponometia semiflava,Half-yellow Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ponometia,semiflava,01691_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Ponometia_semiflava
84,1729,Pseudoips prasinana,Green Silver-lines,Animalia,Arthropoda,Insecta,Lepidoptera,Nolidae,Pseudoips,prasinana,01729_Animalia_Arthropoda_Insecta_Lepidoptera_Nolidae_Pseudoips_prasinana
85,1748,Peridea angulosa,Angulose Prominent Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Peridea,angulosa,01748_Animalia_Arthropoda_Insecta_Lepidoptera_Notodontidae_Peridea_angulosa
86,1802,Brenthis ino,Lesser Marbled Fritillary,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Brenthis,ino,01802_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Brenthis_ino
87,1838,Doxocopa laure,Silver Emperor,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Doxocopa,laure,01838_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Doxocopa_laure
88,1840,Dryas iulia,Julia Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dryas,iulia,01840_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Dryas_iulia
89,1854,Euphydryas phaeton,Baltimore Checkerspot,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euphydryas,phaeton,01854_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Euphydryas_phaeton
90,1908,Limenitis arthemis,Red-spotted Admiral,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,arthemis,01908_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Limenitis_arthemis
91,1938,Nymphalis antiopa,Mourning Cloak,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis,antiopa,01938_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Nymphalis_antiopa
92,1968,Smyrna blomfildia,Blomfild's Beauty,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Smyrna,blomfildia,01968_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Smyrna_blomfildia
93,2009,Papilio anactus,Dainty Swallowtail,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,anactus,02009_Animalia_Arthropoda_Insecta_Lepidoptera_Papilionidae_Papilio_anactus
94,2034,Papilio thoas,Thoas Swallowtail,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,thoas,02034_Animalia_Arthropoda_Insecta_Lepidoptera_Papilionidae_Papilio_thoas
95,2073,Eurema daira,Barred Yellow,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,daira,02073_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Eurema_daira
96,2077,Glutophrissa drusilla,Florida White,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Glutophrissa,drusilla,02077_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Glutophrissa_drusilla
97,2092,Pieris brassicae,Large White Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,brassicae,02092_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Pieris_brassicae
98,2129,Moodna ostrinella,Darker Moodna Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Moodna,ostrinella,02129_Animalia_Arthropoda_Insecta_Lepidoptera_Pyralidae_Moodna_ostrinella
99,2139,Calephelis nemesis,Fatal Metalmark,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Calephelis,nemesis,02139_Animalia_Arthropoda_Insecta_Lepidoptera_Riodinidae_Calephelis_nemesis
100,2145,Melanis pixe,Red-bordered Pixie,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Melanis,pixe,02145_Animalia_Arthropoda_Insecta_Lepidoptera_Riodinidae_Melanis_pixe
101,2149,Anisota senatoria,Orange-tipped Oakworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Anisota,senatoria,02149_Animalia_Arthropoda_Insecta_Lepidoptera_Saturniidae_Anisota_senatoria
102,2161,Hemileuca maia,Buck Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Hemileuca,maia,02161_Animalia_Arthropoda_Insecta_Lepidoptera_Saturniidae_Hemileuca_maia
103,2166,Saturnia pavonia,Small Emperor Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Saturnia,pavonia,02166_Animalia_Arthropoda_Insecta_Lepidoptera_Saturniidae_Saturnia_pavonia
104,2167,Saturnia pyri,Giant Peacock Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Saturnia,pyri,02167_Animalia_Arthropoda_Insecta_Lepidoptera_Saturniidae_Saturnia_pyri
105,2185,Dolba hyloeus,Pawpaw Sphinx Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Dolba,hyloeus,02185_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Dolba_hyloeus
106,2198,Hippotion scrofa,Hippotion scrofa,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hippotion,scrofa,02198_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Hippotion_scrofa
107,2211,Paonias excaecata,Blinded Sphinx Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias,excaecata,02211_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Paonias_excaecata
108,2222,Sphinx pinastri,Pine Hawk-Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,pinastri,02222_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Sphinx_pinastri
109,2235,Argyrotaenia velutinana,Red-banded Leafroller,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,velutinana,02235_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Argyrotaenia_velutinana
110,2246,Cydia latiferreana,Filbertworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,latiferreana,02246_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Cydia_latiferreana
111,2249,Epiblema otiosana,Bidens Borer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiblema,otiosana,02249_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Epiblema_otiosana
112,2262,Platynota rostrana,Omnivorous Platynota Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,rostrana,02262_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Platynota_rostrana
113,2284,Orthodera ministralis,Australian Green Mantis,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Orthodera,ministralis,02284_Animalia_Arthropoda_Insecta_Mantodea_Mantidae_Orthodera_ministralis
114,2297,Chrysopa oculata,Chrysopa oculata,Animalia,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysopa,oculata,02297_Animalia_Arthropoda_Insecta_Neuroptera_Chrysopidae_Chrysopa_oculata
115,2303,Libelloides coccajus,Owly Sulphur,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,Libelloides,coccajus,02303_Animalia_Arthropoda_Insecta_Neuroptera_Myrmeleontidae_Libelloides_coccajus
116,2332,Calopteryx maculata,Ebony Jewelwing,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,maculata,02332_Animalia_Arthropoda_Insecta_Odonata_Calopterygidae_Calopteryx_maculata
117,2369,Enallagma cyathigerum,Common Blue Damselfly,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,cyathigerum,02369_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_cyathigerum
118,2375,Enallagma geminatum,Skimming Bluet,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,geminatum,02375_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_geminatum
119,2427,Erpetogomphus designatus,Eastern Ringtail,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Erpetogomphus,designatus,02427_Animalia_Arthropoda_Insecta_Odonata_Gomphidae_Erpetogomphus_designatus
120,2432,Hagenius brevistylus,Dragonhunter,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Hagenius,brevistylus,02432_Animalia_Arthropoda_Insecta_Odonata_Gomphidae_Hagenius_brevistylus
121,2463,Lestes virens,Small Spreadwing,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,virens,02463_Animalia_Arthropoda_Insecta_Odonata_Lestidae_Lestes_virens
