method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
ImageNet-pretrained ConvNeXt-Tiny with MixUp,488,489,3,Taxodium distichum (baldcypress),Taxodium mucronatum (Montezuma cypress),1,1,Cupressaceae,Cupressaceae,val/09793_Plantae_Tracheophyta_Pinopsida_Pinales_Cupressaceae_Taxodium_distichum/5a9aee3b-0b3b-492e-ba54-76cd4037b1b6.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,5,6,2,Hemiscolopendra marginata (Eastern Bark Centipede),Scolopendra heros (Giant Desert Centipede),0,1,Scolopendridae,Scolopendridae,val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/b76aa04d-4e5c-441a-ae9a-29860df80cba.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,40,39,2,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),Augochlora pura (Pure Green Sweat Bee),0,1,Halictidae,Halictidae,val/00775_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochloropsis_metallica/9f8985f9-5df9-4687-9907-70a9ec7deb87.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,67,68,2,Lerodea eufala (Eufala Skipper),Lon melane (Umber Skipper),0,1,Hesperiidae,Hesperiidae,val/01376_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Lerodea_eufala/b0cfc791-ec6a-4bfa-86a0-c146d7697410.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,68,69,2,Lon melane (Umber Skipper),Polites mystic (Long Dash Skipper),0,1,Hesperiidae,Hesperiidae,val/01378_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Lon_melane/de3b4755-fb74-4bee-b430-3121d6d5b714.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,77,75,2,Icaricia icarioides (Boisduval's Blue),Celastrina ladon (Spring Azure),0,1,Lycaenidae,Lycaenidae,val/01485_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Icaricia_icarioides/31c99e09-514e-4440-b0d8-3cb92e9296cd.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,117,118,2,Enallagma cyathigerum (Common Blue Damselfly),Enallagma geminatum (Skimming Bluet),1,1,Coenagrionidae,Coenagrionidae,val/02369_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_cyathigerum/a80b02cd-0102-4d78-b07b-fa4dbe850b21.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,139,138,2,Plotosus lineatus (Striped Eel Catfish),Paralabrax clathratus (Kelp Bass),0,0,Plotosidae,Serranidae,val/02914_Animalia_Chordata_Actinopterygii_Siluriformes_Plotosidae_Plotosus_lineatus/c91937ab-a86b-4236-902c-2ef0e53b5c4d.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,146,147,2,Aquila heliaca (Imperial Eagle),Pernis apivorus (European Honey-buzzard),0,1,Accipitridae,Accipitridae,val/03120_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_heliaca/985fb2a1-08be-45ad-a101-0be5ff4f8848.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,151,150,2,Mergellus albellus (Smew),Melanitta perspicillata (Surf Scoter),0,1,Anatidae,Anatidae,val/03259_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mergellus_albellus/9468aad6-fa17-4366-8380-6474dd8a8546.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,160,163,2,Chroicocephalus hartlaubii (Hartlaub's Gull),Larus glaucescens (Glaucous-winged Gull),0,1,Laridae,Laridae,val/03398_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_hartlaubii/71bfecc9-fa2f-491e-b68c-6415d69d72d4.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,161,162,2,Chroicocephalus ridibundus (Black-headed Gull),Larus cachinnans (Caspian Gull),0,1,Laridae,Laridae,val/03402_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_ridibundus/b3530d17-727e-4764-95b1-ad381c33c92b.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,182,181,2,Quiscalus quiscula (Common Grackle),Agelaius tricolor (Tricolored Blackbird),0,1,Icteridae,Icteridae,val/03901_Animalia_Chordata_Aves_Passeriformes_Icteridae_Quiscalus_quiscula/2d3d33e1-08b0-4e4e-a35f-c453651a6169.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,199,186,2,Sitta pusilla (Brown-headed Nuthatch),Poecile hudsonicus (Boreal Chickadee),0,0,Sittidae,Paridae,val/04189_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_pusilla/8a0dacb6-3d4c-4857-a44c-c61a29a49d4e.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,204,203,2,Contopus sordidulus (Western Wood-Pewee),Contopus cooperi (Olive-sided Flycatcher),1,1,Tyrannidae,Tyrannidae,val/04295_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Contopus_sordidulus/a858a46a-3fd7-41fe-b301-5baf7a289abb.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,208,209,2,Zosterops japonicus (Warbling White-eye),Zosterops palpebrosus (Indian White-eye),1,1,Zosteropidae,Zosteropidae,val/04350_Animalia_Chordata_Aves_Passeriformes_Zosteropidae_Zosterops_japonicus/b2d78742-7386-4338-8b87-2475b536784e.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,216,217,2,Phalacrocorax pelagicus (Pelagic Cormorant),Phalacrocorax penicillatus (Brandt's Cormorant),1,1,Phalacrocoracidae,Phalacrocoracidae,val/04578_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_pelagicus/f185abe4-96d5-4bee-b726-3ac679aee3db.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,221,222,2,Tragelaphus oryx (Eland),Odocoileus virginianus (White-tailed Deer),0,0,Bovidae,Cervidae,val/04641_Animalia_Chordata_Mammalia_Artiodactyla_Bovidae_Tragelaphus_oryx/cfff82ae-60df-443d-965b-32a609d247ba.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,225,223,2,Lynx canadensis (Canada Lynx),Canis lupus (Gray Wolf),0,0,Felidae,Canidae,val/04680_Animalia_Chordata_Mammalia_Carnivora_Felidae_Lynx_canadensis/14b83c18-104e-49f9-94f0-ed895d6f8a3c.jpg
