method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
Simple CNN from scratch,255,273,5,Phidiana hiltoni (Hilton's Aeolid),Hericium americanum (Bear's Head Tooth),0,0,Facelinidae,Hericiaceae,val/05312_Animalia_Mollusca_Gastropoda_Nudibranchia_Facelinidae_Phidiana_hiltoni/2468597e-f7ba-4f27-81da-7429a950b293.jpg
Simple CNN from scratch,409,454,5,Ajuga genevensis (Blue Bugle),Aquilegia vulgaris (common columbine),0,0,Lamiaceae,Ranunculaceae,val/08426_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Ajuga_genevensis/df081c32-df3f-44ff-8698-662abc86b6c5.jpg
Simple CNN from scratch,452,8,5,Adonis vernalis (Spring Adonis),Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),0,0,Ranunculaceae,Cantharidae,val/09202_Plantae_Tracheophyta_Magnoliopsida_Ranunculales_Ranunculaceae_Adonis_vernalis/ea51b25f-a938-44e6-8b14-0ebf18d488fa.jpg
Simple CNN from scratch,474,279,5,Bursera microphylla (elephant tree),Ephedra trifurca (longleaf ephedra),0,0,Burseraceae,Ephedraceae,val/09550_Plantae_Tracheophyta_Magnoliopsida_Sapindales_Burseraceae_Bursera_microphylla/e3b6a7ce-84f2-48ad-a7e1-dce0bc047e63.jpg
Simple CNN from scratch,12,66,4,Henosepilachna vigintioctopunctata (Hadda Beetle),Iambrix salsala (Chestnut Bob),0,0,Coccinellidae,Hesperiidae,val/00326_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Henosepilachna_vigintioctopunctata/b06a53c0-1dc9-4565-b137-e85f9ca01a9a.jpg
Simple CNN from scratch,20,8,4,Copestylum mexicanum (Mexican Cactus Fly),Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),0,0,Syrphidae,Cantharidae,val/00461_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Copestylum_mexicanum/3d47fff4-b85d-450e-8d01-19410dcc6ae7.jpg
Simple CNN from scratch,39,8,4,Augochlora pura (Pure Green Sweat Bee),Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),0,0,Halictidae,Cantharidae,val/00774_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochlora_pura/6e6dfa61-b4a2-469f-923d-cb493ec6f385.jpg
Simple CNN from scratch,40,8,4,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),0,0,Halictidae,Cantharidae,val/00775_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochloropsis_metallica/b9a865f9-1b2b-4a1a-9a64-5326a51df7ac.jpg
Simple CNN from scratch,45,110,4,Parapoynx diminutalis (Hydrilla Leafcutter Moth),Cydia latiferreana (Filbertworm Moth),0,0,Crambidae,Tortricidae,val/00921_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Parapoynx_diminutalis/4b6e1e5a-0697-4998-8fdf-62624ba53e2b.jpg
Simple CNN from scratch,47,110,4,Pyrausta volupialis (Volupial Pyrausta Moth),Cydia latiferreana (Filbertworm Moth),0,0,Crambidae,Tortricidae,val/00937_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Pyrausta_volupialis/a84b9bcc-baf3-4664-bf8a-8297456ca3e5.jpg
Simple CNN from scratch,65,247,4,Erynnis juvenalis (Juvenal's Duskywing),Crotalus oreganus (Western Rattlesnake),0,0,Hesperiidae,Viperidae,val/01362_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Erynnis_juvenalis/f8f1241f-1348-477e-9f63-34038f9ec29b.jpg
Simple CNN from scratch,69,39,4,Polites mystic (Long Dash Skipper),Augochlora pura (Pure Green Sweat Bee),0,0,Hesperiidae,Halictidae,val/01393_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_mystic/1691db02-b487-4308-9748-534de328f18e.jpg
Simple CNN from scratch,73,66,4,Anthene emolus (Common Ciliate Blue),Iambrix salsala (Chestnut Bob),0,0,Lycaenidae,Hesperiidae,val/01439_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Anthene_emolus/a7e4cbff-97ed-4c16-892a-23872a7fc77e.jpg
Simple CNN from scratch,89,76,4,Euphydryas phaeton (Baltimore Checkerspot),Cyaniris semiargus (Mazarine Blue),0,0,Nymphalidae,Lycaenidae,val/01854_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Euphydryas_phaeton/c31f1d96-25f1-45e9-8ed6-116b10c9c57b.jpg
Simple CNN from scratch,92,217,4,Smyrna blomfildia (Blomfild's Beauty),Phalacrocorax penicillatus (Brandt's Cormorant),0,0,Nymphalidae,Phalacrocoracidae,val/01968_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Smyrna_blomfildia/aab0fc6a-08ec-455a-b521-6c91448f231f.jpg
Simple CNN from scratch,98,46,4,Moodna ostrinella (Darker Moodna Moth),Perispasta caeculalis (Titian Peale's Crambid),0,0,Pyralidae,Crambidae,val/02129_Animalia_Arthropoda_Insecta_Lepidoptera_Pyralidae_Moodna_ostrinella/45f04a11-13ab-43d3-906c-87988cde5d5c.jpg
