method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
HOG + SVM,17,49,2,Exomala orientalis (Oriental Beetle),Bulia deducta (Deduced Graphic),0,0,Scarabaeidae,Erebidae,val/00386_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Exomala_orientalis/f42b16c2-a0a6-4d95-8171-7581b63e90c5.jpg
HOG + SVM,18,170,2,Calliphora vicina (Blue Blowfly),Pheucticus chrysopeplus (Yellow Grosbeak),0,0,Calliphoridae,Cardinalidae,val/00435_Animalia_Arthropoda_Insecta_Diptera_Calliphoridae_Calliphora_vicina/020d4451-49de-4ded-b064-738c62202e0e.jpg
HOG + SVM,23,72,2,Toxomerus politus (Maize Calligrapher Fly),Euclea incisa (Green Oak-Slug Moth),0,0,Syrphidae,Limacodidae,val/00493_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Toxomerus_politus/541c97c7-917e-46a0-b2e6-48e7b019d776.jpg
HOG + SVM,25,403,2,Acanthocephala femorata (Florida Leaf-footed Bug),Quercus phellos (willow oak),0,0,Coreidae,Fagaceae,val/00558_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Acanthocephala_femorata/32cb2527-c344-46be-9aa1-0b853a122228.jpg
HOG + SVM,31,81,2,Nezara viridula (Southern Green Stink Bug),Lithacodia musta (Small Mossy Lithacodia),0,0,Pentatomidae,Noctuidae,val/00630_Animalia_Arthropoda_Insecta_Hemiptera_Pentatomidae_Nezara_viridula/0b865e49-0f68-49ef-938b-1579ad68a6fa.jpg
HOG + SVM,36,266,2,Amphibolips confluenta (Spongy Oak Apple Gall Wasp),Amanita rubescens (blusher),0,0,Cynipidae,Amanitaceae,val/00727_Animalia_Arthropoda_Insecta_Hymenoptera_Cynipidae_Amphibolips_confluenta/14fba512-7306-4117-b694-c01ab21c38ef.jpg
HOG + SVM,39,406,2,Augochlora pura (Pure Green Sweat Bee),Frasera caroliniensis (American columbo),0,0,Halictidae,Gentianaceae,val/00774_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochlora_pura/42842ff7-cd08-46d4-bbc0-f7c89b4f9d4a.jpg
HOG + SVM,40,45,2,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),Parapoynx diminutalis (Hydrilla Leafcutter Moth),0,0,Halictidae,Crambidae,val/00775_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochloropsis_metallica/918d36ae-5bfc-4733-96a2-aac2a4e0ef48.jpg
HOG + SVM,48,76,2,Urola nivalis (Snowy Urola Moth),Cyaniris semiargus (Mazarine Blue),0,0,Crambidae,Lycaenidae,val/00949_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Urola_nivalis/4597b89f-c586-4967-9342-7d6383e604f1.jpg
HOG + SVM,57,217,2,Colotois pennaria (Feathered Thorn),Phalacrocorax penicillatus (Brandt's Cormorant),0,0,Geometridae,Phalacrocoracidae,val/01176_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Colotois_pennaria/551b8d2b-d6f4-4bcc-bdb3-c924444b2e60.jpg
HOG + SVM,58,59,2,Idaea aversata (Riband Wave),Ilexia intractata (Black-dotted Ruddy Moth),0,1,Geometridae,Geometridae,val/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/de8b7f2f-4bed-499a-820a-f619f438ef19.jpg
HOG + SVM,59,60,2,Ilexia intractata (Black-dotted Ruddy Moth),Probole amicaria (Alien Probole Moth),0,1,Geometridae,Geometridae,val/01242_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ilexia_intractata/fb8bf6d0-f80f-422a-814b-94654145eed4.jpg
HOG + SVM,62,266,2,Tetracis crocallata (Yellow Slant-line),Amanita rubescens (blusher),0,0,Geometridae,Amanitaceae,val/01315_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Tetracis_crocallata/8e92383f-b8a8-411f-910a-0493f3d3269e.jpg
HOG + SVM,67,493,2,Lerodea eufala (Eufala Skipper),Gleichenia dicarpa (tangle fern),0,0,Hesperiidae,Gleicheniaceae,val/01376_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Lerodea_eufala/3cc71864-b3a2-4360-a4d2-a0b223510b84.jpg
