method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
ImageNet-pretrained ResNet18,11,258,4,Leptinotarsa juncta (False Potato Beetle),Cepaea hortensis (White-lipped Snail),0,0,Chrysomelidae,Helicidae,val/00290_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Leptinotarsa_juncta/6e2c087a-ada3-4ae9-9bef-8c06c474c454.jpg
ImageNet-pretrained ResNet18,26,27,4,Leptoglossus clypealis (Western Leaf-footed Bug),Leptoglossus occidentalis (Western Conifer Seed Bug),1,1,Coreidae,Coreidae,val/00567_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_clypealis/961d0095-9408-4371-8ee3-8d3468bd4ab6.jpg
ImageNet-pretrained ResNet18,69,67,4,Polites mystic (Long Dash Skipper),Lerodea eufala (Eufala Skipper),0,1,Hesperiidae,Hesperiidae,val/01393_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_mystic/95bdb81d-2018-4302-aa8a-3d6cd2a20de9.jpg
ImageNet-pretrained ResNet18,77,74,4,Icaricia icarioides (Boisduval's Blue),Catochrysops strabo (Forget-me-not),0,1,Lycaenidae,Lycaenidae,val/01485_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Icaricia_icarioides/618648e3-2e4d-4078-ae97-4ead69ebb532.jpg
ImageNet-pretrained ResNet18,92,103,4,Smyrna blomfildia (Blomfild's Beauty),Saturnia pavonia (Small Emperor Moth),0,0,Nymphalidae,Saturniidae,val/01968_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Smyrna_blomfildia/03c6d9f4-6147-4151-9927-d8a3ce9ef1b6.jpg
ImageNet-pretrained ResNet18,95,96,4,Eurema daira (Barred Yellow),Glutophrissa drusilla (Florida White),0,1,Pieridae,Pieridae,val/02073_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Eurema_daira/f9c2c5a0-8b74-48bf-8c48-3dfb7dead4a3.jpg
ImageNet-pretrained ResNet18,128,129,4,Pimephales notatus (Bluntnose Minnow),Rhinichthys atratulus (Blacknose Dace),0,1,Cyprinidae,Cyprinidae,val/02769_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Pimephales_notatus/ba14416a-361e-45d9-a3ac-4c176ef91961.jpg
ImageNet-pretrained ResNet18,130,138,4,Squalius cephalus (Chub),Paralabrax clathratus (Kelp Bass),0,0,Cyprinidae,Serranidae,val/02773_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Squalius_cephalus/4a488b14-f99d-4fc7-9dc2-062427ae882a.jpg
ImageNet-pretrained ResNet18,133,140,4,Eupetrichthys angustipes (Snakeskin Wrasse),Hippocampus histrix (Spiny Seahorse),0,0,Labridae,Syngnathidae,val/02836_Animalia_Chordata_Actinopterygii_Perciformes_Labridae_Eupetrichthys_angustipes/ff82209f-fa22-4084-acff-25f9ca9d7490.jpg
ImageNet-pretrained ResNet18,147,146,4,Pernis apivorus (European Honey-buzzard),Aquila heliaca (Imperial Eagle),0,1,Accipitridae,Accipitridae,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/5d224229-b7ea-4586-ac4a-2dc2a44d4b4d.jpg
ImageNet-pretrained ResNet18,161,163,4,Chroicocephalus ridibundus (Black-headed Gull),Larus glaucescens (Glaucous-winged Gull),0,1,Laridae,Laridae,val/03402_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_ridibundus/6023e79c-3da4-42d0-b709-c4df79138a40.jpg
ImageNet-pretrained ResNet18,166,176,4,Patagioenas flavirostris (Red-billed Pigeon),Loxia curvirostra (Red Crossbill),0,0,Columbidae,Fringillidae,val/03529_Animalia_Chordata_Aves_Columbiformes_Columbidae_Patagioenas_flavirostris/0439dd12-ea4b-4bef-bd09-c2faca509de2.jpg
ImageNet-pretrained ResNet18,175,205,4,Taeniopygia bichenovii (Double-barred Finch),Empidonax hammondii (Hammond's Flycatcher),0,0,Estrildidae,Tyrannidae,val/03804_Animalia_Chordata_Aves_Passeriformes_Estrildidae_Taeniopygia_bichenovii/b0e03fcd-c630-4579-8b5f-d82db193f03d.jpg
ImageNet-pretrained ResNet18,199,205,4,Sitta pusilla (Brown-headed Nuthatch),Empidonax hammondii (Hammond's Flycatcher),0,0,Sittidae,Tyrannidae,val/04189_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_pusilla/f3454eff-ce20-4637-9114-d52fe3b0078c.jpg
ImageNet-pretrained ResNet18,209,183,4,Zosterops palpebrosus (Indian White-eye),Ptilotula penicillata (White-plumed Honeyeater),0,0,Zosteropidae,Meliphagidae,val/04352_Animalia_Chordata_Aves_Passeriformes_Zosteropidae_Zosterops_palpebrosus/7ec5632d-497f-474b-bf51-fc8a1c58c82e.jpg
ImageNet-pretrained ResNet18,259,258,4,Helix lucorum (Turkish Snail),Cepaea hortensis (White-lipped Snail),0,1,Helicidae,Helicidae,val/05350_Animalia_Mollusca_Gastropoda_Stylommatophora_Helicidae_Helix_lucorum/1080a4d4-8289-400b-ab02-72ccce5dcda5.jpg
ImageNet-pretrained ResNet18,263,261,4,Umbilicaria mammulata (Smooth Rock Tripe),Peltigera praetextata (scaly pelt lichen),0,0,Umbilicariaceae,Peltigeraceae,val/05445_Fungi_Ascomycota_Lecanoromycetes_Umbilicariales_Umbilicariaceae_Umbilicaria_mammulata/ee46a4e0-dff1-493a-8d50-083e7eb52eea.jpg
ImageNet-pretrained ResNet18,278,496,4,Radula complanata (Flat-leaved Scalewort),Cystopteris fragilis (brittle bladderfern),0,0,Radulaceae,Cystopteridaceae,val/05769_Plantae_Marchantiophyta_Jungermanniopsida_Porellales_Radulaceae_Radula_complanata/0df76249-5fec-4c14-bcbb-16b167b58bc5.jpg
ImageNet-pretrained ResNet18,285,484,4,Camassia quamash (small camas),Solanum elaeagnifolium (White Horse-nettle),0,0,Asparagaceae,Solanaceae,val/05887_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Camassia_quamash/a30abfa7-f04e-48d1-b48d-5498ff35b19a.jpg
ImageNet-pretrained ResNet18,289,484,4,Crocus vernus (Spring Crocus),Solanum elaeagnifolium (White Horse-nettle),0,0,Iridaceae,Solanaceae,val/05962_Plantae_Tracheophyta_Liliopsida_Asparagales_Iridaceae_Crocus_vernus/cd786dbf-8547-4c2d-9a17-1e69303bcc53.jpg
